	precision	recall	f1-score	support
Achinese (ace)	0.994535519125683	0.91	0.9503916449086162	200.0
Afrikaans (afr)	0.9056603773584906	0.96	0.9320388349514563	200.0
Alemannic German (als)	0.891566265060241	0.7437185929648241	0.8109589041095889	199.0
Amharic (amh)	1.0	0.97	0.9847715736040609	200.0
Old English  (ang)	0.8802083333333334	0.845	0.8622448979591837	200.0
Arabic (ara)	0.9068627450980392	0.925	0.9158415841584158	200.0
Aragonese (arg)	0.8256880733944955	0.9	0.861244019138756	200.0
Egyptian Arabic (arz)	0.9285714285714286	0.91	0.9191919191919193	200.0
Assamese (asm)	0.9948979591836735	0.975	0.984848484848485	200.0
Asturian (ast)	0.9241379310344827	0.67	0.7768115942028986	200.0
Avar (ava)	0.6531531531531531	0.7286432160804021	0.6888361045130641	199.0
Aymara (aym)	0.9361702127659575	0.8844221105527639	0.9095607235142119	199.0
South Azerbaijani (azb)	0.9947368421052631	0.949748743718593	0.9717223650385605	199.0
Azerbaijani (aze)	1.0	0.935	0.9664082687338501	200.0
Bashkir (bak)	0.9933774834437086	0.9146341463414634	0.9523809523809523	164.0
Bavarian (bar)	0.8112244897959183	0.795	0.8030303030303031	200.0
Central Bikol (bcl)	0.9786096256684492	0.915	0.9457364341085273	200.0
Belarusian (Taraschkewiza) (be-tarask)	0.6666666666666666	0.75	0.7058823529411765	200.0
Belarusian (bel)	0.7088607594936709	0.56	0.6256983240223464	200.0
Bengali (ben)	0.8817733990147784	0.895	0.8883374689826302	200.0
Bhojpuri (bho)	0.7828054298642534	0.865	0.8218527315914489	200.0
Banjar (bjn)	0.9290780141843972	0.6616161616161617	0.7728613569321534	198.0
Tibetan (bod)	1.0	0.99	0.9949748743718593	200.0
Bosnian (bos)	0.3645083932853717	0.76	0.4927066450567262	200.0
Bishnupriya (bpy)	0.9698492462311558	0.965	0.9674185463659147	200.0
Breton (bre)	0.9693877551020408	0.9547738693467337	0.9620253164556962	199.0
Bulgarian (bul)	0.9064039408866995	0.92	0.913151364764268	200.0
Buryat (bxr)	0.9181286549707602	0.7889447236180904	0.8486486486486486	199.0
Catalan (cat)	0.7634854771784232	0.9246231155778895	0.8363636363636363	199.0
Chavacano (cbk)	0.6896551724137931	0.4	0.5063291139240508	200.0
Min Dong (cdo)	0.8935185185185185	0.965	0.9278846153846153	200.0
Cebuano (ceb)	0.9521531100478469	0.995	0.9731051344743276	200.0
Czech (ces)	0.9633507853403142	0.92	0.9411764705882353	200.0
Chechen (che)	0.7692307692307693	0.8	0.7843137254901961	25.0
Cherokee (chr)	1.0	0.9545454545454546	0.9767441860465117	198.0
Chuvash (chv)	0.9810126582278481	0.9117647058823529	0.9451219512195121	170.0
Central Kurdish (ckb)	0.9848484848484849	0.975	0.9798994974874371	200.0
Cornish (cor)	0.9642857142857143	0.945	0.9545454545454546	200.0
Corsican (cos)	0.8990384615384616	0.935	0.9166666666666667	200.0
Crimean Tatar (crh)	0.8564814814814815	0.9296482412060302	0.891566265060241	199.0
Kashubian (csb)	0.9320388349514563	0.9696969696969697	0.9504950495049505	198.0
Welsh (cym)	0.9635416666666666	0.9536082474226805	0.9585492227979275	194.0
Danish (dan)	0.9269662921348315	0.825	0.8730158730158731	200.0
German (deu)	0.562111801242236	0.905	0.6934865900383143	200.0
Dimli (diq)	0.9779005524861878	0.885	0.9291338582677167	200.0
Dhivehi (div)	1.0	0.9899497487437185	0.9949494949494949	199.0
Lower Sorbian (dsb)	0.8557213930348259	0.864321608040201	0.86	199.0
Doteli (dty)	0.5518672199170125	0.665	0.6031746031746033	200.0
Emilian (egl)	0.8194444444444444	0.885	0.8509615384615384	200.0
Modern Greek (ell)	0.9289099526066351	0.9849246231155779	0.9560975609756097	199.0
English (eng)	0.2551159618008186	0.935	0.4008574490889604	200.0
Esperanto (epo)	0.7450199203187251	0.935	0.8292682926829268	200.0
Estonian (est)	0.6515151515151515	0.86	0.7413793103448276	200.0
Basque (eus)	0.9138755980861244	0.955	0.9339853300733496	200.0
Extremaduran (ext)	0.9166666666666666	0.715	0.8033707865168539	200.0
Faroese (fao)	0.9215686274509803	0.9494949494949495	0.9353233830845771	198.0
Persian (fas)	0.8133333333333334	0.915	0.8611764705882353	200.0
Finnish (fin)	0.8380952380952381	0.88	0.8585365853658538	200.0
French (fra)	0.5160349854227405	0.8939393939393939	0.6543438077634011	198.0
Arpitan (frp)	0.7673267326732673	0.7788944723618091	0.7730673316708229	199.0
Western Frisian (fry)	0.8296943231441049	0.95	0.8857808857808858	200.0
Friulian (fur)	0.9320987654320988	0.755	0.8342541436464088	200.0
Gagauz (gag)	0.9122807017543859	0.7918781725888325	0.8478260869565218	197.0
Scottish Gaelic (gla)	0.8571428571428571	0.96	0.9056603773584904	200.0
Irish (gle)	0.9121951219512195	0.935	0.9234567901234569	200.0
Galician (glg)	0.8540540540540541	0.79	0.8207792207792207	200.0
Gilaki (glk)	0.855	0.868020304568528	0.8614609571788413	197.0
Manx (glv)	0.9840425531914894	0.9296482412060302	0.9560723514211886	199.0
Guarani (grn)	0.9895287958115183	0.945	0.9667519181585678	200.0
Gujarati (guj)	1.0	0.9346733668341709	0.9662337662337662	199.0
Hakka Chinese (hak)	0.9947368421052631	0.945	0.9692307692307691	200.0
Haitian Creole (hat)	0.6	0.8918918918918919	0.7173913043478262	37.0
Hausa (hau)	0.9484536082474226	0.9292929292929293	0.9387755102040816	198.0
Serbo-Croatian (hbs)	0.411214953271028	0.22	0.28664495114006516	200.0
Hebrew (heb)	0.9752475247524752	0.985	0.9800995024875623	200.0
Fiji Hindi (hif)	0.8838383838383839	0.8883248730964467	0.8860759493670886	197.0
Hindi (hin)	0.8783068783068783	0.83	0.8534704370179949	200.0
Croatian (hrv)	0.4126984126984127	0.13131313131313133	0.19923371647509577	198.0
Upper Sorbian (hsb)	0.8095238095238095	0.8947368421052632	0.8500000000000001	152.0
Hungarian (hun)	0.8602620087336245	0.985	0.9184149184149185	200.0
Armenian (hye)	0.9894736842105263	0.9494949494949495	0.9690721649484537	198.0
Igbo (ibo)	0.935672514619883	0.8	0.8625336927223719	200.0
Ido (ido)	0.923469387755102	0.905	0.9141414141414141	200.0
Interlingue (ile)	0.9817073170731707	0.8473684210526315	0.9096045197740114	190.0
Iloko (ilo)	0.9	0.9045226130653267	0.9022556390977444	199.0
Interlingua (ina)	0.9310344827586207	0.949748743718593	0.9402985074626866	199.0
Indonesian (ind)	0.3333333333333333	0.005128205128205128	0.010101010101010102	195.0
Icelandic (isl)	0.968421052631579	0.9484536082474226	0.9583333333333333	194.0
Italian (ita)	0.8028169014084507	0.855	0.828087167070218	200.0
Jamaican Patois (jam)	0.8290598290598291	0.97	0.8940092165898618	200.0
Javanese (jav)	0.8542713567839196	0.85	0.8521303258145363	200.0
